x,f
0.0,12473.286956
43756.10709874199,12725.68554027986
65648.45457329099,11181.383299086334
76507.17084422972,8844.227458348234
77807.2242200027,13013.406158235903
78282.4685380932,13073.713227914604
78419.6143950908,12933.525991184571
78480.24819081495,12849.065016307228
78489.08586905882,12835.282617316358
78492.7241785256,12829.608657330517
78493.60537656605,12828.234425021055
78493.96814957997,12827.668678873357
78494.05601315286,12827.531655236053
78494.0921849686,12827.475245126638
78494.10094577727,12827.461582606084
78494.10455244096,12827.455957997841
78494.106037238,12827.45364245017
78494.10707623935,12827.45202212289
78494.1174965526,12827.435771597484
78494.22200356638,12827.272792439218
78495.2701213782,12825.638247995154
78505.78186511496,12809.24513633483
78523.506028267,12780.115811203757
78693.36129876152,12445.254240995051
79292.08528539728,10475.871623391495
81804.17035014427,6435.4507402340705
86400.0,2653.685784
